COMUNIDAD,PROVINCIA,MUNICIPIO,INE
Pais Vasco,Álava,Agurain/Salvatierra,010513
Pais Vasco,Álava,Alegría-Dulantzi,010014
Pais Vasco,Álava,Amurrio,010029
Pais Vasco,Álava,Añana,010493
Pais Vasco,Álava,Aramaio,010035
Pais Vasco,Álava,Armiñón,010066
Pais Vasco,Álava,Arraia-Maeztu,010376
Pais Vasco,Álava,Arratzua-Ubarrundia,010088
Pais Vasco,Álava,Artziniega,010040
Pais Vasco,Álava,Asparrena,010091
Pais Vasco,Álava,Ayala/Aiara,010105
Pais Vasco,Álava,Baños de Ebro/Mañueta,010112
Pais Vasco,Álava,Barrundia,010133
Pais Vasco,Álava,Berantevilla,010148
Pais Vasco,Álava,Bernedo,010164
Pais Vasco,Álava,Campezo/Kanpezu,010170
Pais Vasco,Álava,Elburgo/Burgelu,010210
Pais Vasco,Álava,Elciego,010225
Pais Vasco,Álava,Elvillar/Bilar,010231
Pais Vasco,Álava,Erriberagoitia/Ribera Alta,010468
Pais Vasco,Álava,Harana/Valle de Arana,010565
Pais Vasco,Álava,Iruña Oka/Iruña de Oca,019015
Pais Vasco,Álava,Iruraiz-Gauna,010278
Pais Vasco,Álava,Kripan,010199
Pais Vasco,Álava,Kuartango,010203
Pais Vasco,Álava,Labastida/Bastida,010284
Pais Vasco,Álava,Lagrán,010301
Pais Vasco,Álava,Laguardia,010318
Pais Vasco,Álava,Lanciego/Lantziego,010323
Pais Vasco,Álava,Lantarón,019020
Pais Vasco,Álava,Lapuebla de Labarca,010339
Pais Vasco,Álava,Laudio/Llodio,010360
Pais Vasco,Álava,Legutio,010587
Pais Vasco,Álava,Leza,010344
Pais Vasco,Álava,Moreda de Álava/Moreda Araba,010395
Pais Vasco,Álava,Navaridas,010416
Pais Vasco,Álava,Okondo,010421
Pais Vasco,Álava,Oyón-Oion,010437
Pais Vasco,Álava,Peñacerrada-Urizaharra,010442
Pais Vasco,Álava,Ribera Baja/Erriberabeitia,010474
Pais Vasco,Álava,Samaniego,010528
Pais Vasco,Álava,San Millán/Donemiliaga,010534
Pais Vasco,Álava,Urkabustaiz,010549
Pais Vasco,Álava,Valdegovía/Gaubea,010552
Pais Vasco,Álava,Villabuena de Álava/Eskuernaga,010571
Pais Vasco,Álava,Vitoria-Gasteiz,010590
Pais Vasco,Álava,Yécora/Iekora,010604
Pais Vasco,Álava,Zalduondo,010611
Pais Vasco,Álava,Zambrana,010626
Pais Vasco,Álava,Zigoitia,010186
Pais Vasco,Álava,Zuia,010632
Castilla-La Mancha,Albacete,Abengibre,020019
Castilla-La Mancha,Albacete,Alatoz,020024
Castilla-La Mancha,Albacete,Albacete,020030
Castilla-La Mancha,Albacete,Albatana,020045
Castilla-La Mancha,Albacete,Alborea,020058
Castilla-La Mancha,Albacete,Alcadozo,020061
Castilla-La Mancha,Albacete,Alcalá del Júcar,020077
Castilla-La Mancha,Albacete,Alcaraz,020083
Castilla-La Mancha,Albacete,Almansa,020096
Castilla-La Mancha,Albacete,Alpera,020100
Castilla-La Mancha,Albacete,Ayna,020117
Castilla-La Mancha,Albacete,Balazote,020122
Castilla-La Mancha,Albacete,"Ballestero, El",020143
Castilla-La Mancha,Albacete,Balsa de Ves,020138
Castilla-La Mancha,Albacete,Barrax,020156
Castilla-La Mancha,Albacete,Bienservida,020169
Castilla-La Mancha,Albacete,Bogarra,020175
Castilla-La Mancha,Albacete,Bonete,020181
Castilla-La Mancha,Albacete,"Bonillo, El",020194
Castilla-La Mancha,Albacete,Carcelén,020208
Castilla-La Mancha,Albacete,Casas de Juan Núñez,020215
Castilla-La Mancha,Albacete,Casas de Lázaro,020220
Castilla-La Mancha,Albacete,Casas de Ves,020236
Castilla-La Mancha,Albacete,Casas-Ibáñez,020241
Castilla-La Mancha,Albacete,Caudete,020254
Castilla-La Mancha,Albacete,Cenizate,020267
Castilla-La Mancha,Albacete,Chinchilla de Monte-Aragón,020292
Castilla-La Mancha,Albacete,Corral-Rubio,020273
Castilla-La Mancha,Albacete,Cotillas,020289
Castilla-La Mancha,Albacete,Elche de la Sierra,020306
Castilla-La Mancha,Albacete,Férez,020313
Castilla-La Mancha,Albacete,Fuensanta,020328
Castilla-La Mancha,Albacete,Fuente-Álamo,020334
Castilla-La Mancha,Albacete,Fuentealbilla,020349
