""
"Fecha: 20250423112537, Artículo: https://web.archive.org/web/20250423112537/https://www.abc.es/espana/preguntas-directora-cnio-aclarar-sobre-acoso-laboral-20250121202253-nt.html"
"Fecha: 20250920024025, Artículo: https://web.archive.org/web/20250920024025/https://www.abc.es/espana/cataluna/suspende-catedratico-ramon-flecha-inicia-investigacion-presunto-20250716121248-nt.html"
"Fecha: 20251205034110, Artículo: https://web.archive.org/web/20251205034110/https://www.abc.es/espana/andalucia/malaga/psoe-obvio-dos-denuncias-acoso-sexual-edil-20251204154615-nts.html"
"Fecha: 20251205034110, Artículo: https://web.archive.org/web/20251205034110/https://www.abc.es/espana/andalucia/malaga/psoe-malaga-supedita-suspension-lider-torremolinos-resultados-20251204124114-nts.html"
"Fecha: 20251205034110, Artículo: https://web.archive.org/web/20251205034110/https://www.abc.es/espana/andalucia/malaga/fiscalia-investiga-lider-psoe-torremolinos-acoso-sexual-20251203220555-nts.html"
"Fecha: 20251209135539, Artículo: https://web.archive.org/web/20251209135539/https://www.abc.es/espana/andalucia/malaga/psoe-malaga-fulmina-ejecutiva-torremolinos-tras-denuncia-20251209125947-nts.html"
"Fecha: 20251209135539, Artículo: https://web.archive.org/web/20251209135539/https://www.abc.es/espana/andalucia/malaga/montero-vio-denunciante-acoso-sexual-torremolinos-hotel-20251205135607-nts.html"
"Fecha: 20251209135539, Artículo: https://web.archive.org/web/20251209135539/https://www.abc.es/espana/andalucia/malaga/edil-torremolinos-denuncio-secretario-general-violencia-genero-20251205211208-nts.html"
"Fecha: 20251209135539, Artículo: https://web.archive.org/web/20251209135539/https://www.abc.es/espana/andalucia/malaga/psoe-obvio-dos-denuncias-acoso-sexual-edil-20251204154615-nts.html"
"Fecha: 20251209135539, Artículo: https://web.archive.org/web/20251209135539/https://www.abc.es/espana/andalucia/malaga/psoe-malaga-supedita-suspension-lider-torremolinos-resultados-20251204124114-nts.html"
"Fecha: 20251209135539, Artículo: https://web.archive.org/web/20251209135539/https://www.abc.es/espana/andalucia/malaga/fiscalia-investiga-lider-psoe-torremolinos-acoso-sexual-20251203220555-nts.html"
