""
"Fecha: 20150330201315, Artículo: https://web.archive.org/web/20150330201315/https://www.elmundo.es/opinion/2015/03/30/5519a585ca4741d64a8b456b.html"
"Fecha: 20150426201748, Artículo: https://web.archive.org/web/20150426201748/https://www.elmundo.es/pais-vasco/2015/04/04/5520110e268e3ef57f8b457a.html"
"Fecha: 20150426201748, Artículo: https://web.archive.org/web/20150426201748/https://www.elmundo.es/opinion/2015/03/30/5519a585ca4741d64a8b456b.html"
"Fecha: 20150506214952, Artículo: https://web.archive.org/web/20150506214952/https://www.elmundo.es/pais-vasco/2015/04/04/5520110e268e3ef57f8b457a.html"
"Fecha: 20150506214952, Artículo: https://web.archive.org/web/20150506214952/https://www.elmundo.es/opinion/2015/03/30/5519a585ca4741d64a8b456b.html"
"Fecha: 20150526202158, Artículo: https://web.archive.org/web/20150526202158/https://www.elmundo.es/pais-vasco/2015/04/04/5520110e268e3ef57f8b457a.html"
"Fecha: 20150526202158, Artículo: https://web.archive.org/web/20150526202158/https://www.elmundo.es/opinion/2015/03/30/5519a585ca4741d64a8b456b.html"
"Fecha: 20150531043943, Artículo: https://web.archive.org/web/20150531043943/https://www.elmundo.es/pais-vasco/2015/04/04/5520110e268e3ef57f8b457a.html"
"Fecha: 20150531043943, Artículo: https://web.archive.org/web/20150531043943/https://www.elmundo.es/opinion/2015/03/30/5519a585ca4741d64a8b456b.html"
"Fecha: 20160415125141, Artículo: https://https/pais-vasco.html"
"Fecha: 20150823025256, Artículo: https://web.archive.org/web/20150823025256/https://www.elmundo.es/pais-vasco/2015/08/14/55cdad73ca47414a048b4575.html"
"Fecha: 20150823025256, Artículo: https://web.archive.org/web/20150823025256/https://www.elmundo.es/pais-vasco/2015/08/13/55cc5b1de2704e74108b4575.html"
"Fecha: 20150823025256, Artículo: https://web.archive.org/web/20150823025256/https://www.elmundo.es/opinion/2015/08/03/55be641022601d5a588b4583.html"
"Fecha: 20150824052419, Artículo: https://web.archive.org/web/20150824052419/https://www.elmundo.es/pais-vasco/2015/08/14/55cdad73ca47414a048b4575.html"
"Fecha: 20150824052419, Artículo: https://web.archive.org/web/20150824052419/https://www.elmundo.es/pais-vasco/2015/08/13/55cc5b1de2704e74108b4575.html"
"Fecha: 20150824052419, Artículo: https://web.archive.org/web/20150824052419/https://www.elmundo.es/opinion/2015/08/03/55be641022601d5a588b4583.html"
"Fecha: 20150904185649, Artículo: https://web.archive.org/web/20150904185649/https://www.elmundo.es/pais-vasco/2015/08/14/55cdad73ca47414a048b4575.html"
"Fecha: 20150904185649, Artículo: https://web.archive.org/web/20150904185649/https://www.elmundo.es/pais-vasco/2015/08/13/55cc5b1de2704e74108b4575.html"
"Fecha: 20150913222210, Artículo: https://web.archive.org/web/20150913222210/https://www.elmundo.es/pais-vasco/2015/08/14/55cdad73ca47414a048b4575.html"
"Fecha: 20150913222210, Artículo: https://web.archive.org/web/20150913222210/https://www.elmundo.es/pais-vasco/2015/08/13/55cc5b1de2704e74108b4575.html"
"Fecha: 20151001215827, Artículo: https://web.archive.org/web/20151001215827/https://www.elmundo.es/baleares/2015/09/24/56031a7e268e3e382b8b45ab.html"
"Fecha: 20151226193008, Artículo: https://https/comunidad-valenciana.html"
"Fecha: 20151226193008, Artículo: https://web.archive.org/web/20151226193008/https://www.elmundo.es/pais-vasco/2015/11/20/564f16df22601d4e6a8b459b.html"
"Fecha: 20151226193008, Artículo: https://web.archive.org/web/20151226193008/https://www.elmundo.es/sociedad/2015/11/16/5648de12ca474109638b45c3.html"
