""
"Fecha: 20200622063702, Artículo: https://web.archive.org/web/20200622063702/https://www.larazon.es/comunidad-valenciana/20200621/o2i5yykrgfasdna5euvq2lp26i.html"
"Fecha: 20200819162833, Artículo: https://web.archive.org/web/20200819162833/https://www.larazon.es/castilla-y-leon/20200817/z44odtfa6vfajkm5ckcfjj5bfu.html"
"Fecha: 20200819162833, Artículo: https://web.archive.org/web/20200819162833/https://www.larazon.es/america/20200817/wj7s3mveprfivbqtyqphezwqce.html"
"Fecha: 20200819162833, Artículo: https://web.archive.org/web/20200819162833/https://www.larazon.es/castilla-y-leon/20200816/qwnj7a33xng25bjin7v4dyj5le.html"
"Fecha: 20200915123214, Artículo: https://web.archive.org/web/20200915123214/https://www.larazon.es/espana/20200910/hlgbkevr3raf3ozxmywqiggwyu.html"
"Fecha: 20200919064920, Artículo: https://web.archive.org/web/20200919064920/https://www.larazon.es/espana/20200910/hlgbkevr3raf3ozxmywqiggwyu.html"
"Fecha: 20200923150834, Artículo: https://web.archive.org/web/20200923150834/https://www.larazon.es/espana/20200910/hlgbkevr3raf3ozxmywqiggwyu.html"
"Fecha: 20201025082058, Artículo: https://web.archive.org/web/20201025082058/https://www.larazon.es/gente/20201015/tbit2b6erbd6jf6263j4csvfke.html"
"Fecha: 20201025082058, Artículo: https://web.archive.org/web/20201025082058/https://www.larazon.es/andalucia/20201014/xvpxxnfqevgltfuvthqi7uxtgu.html"
"Fecha: 20201102062720, Artículo: https://web.archive.org/web/20201102062720/https://www.larazon.es/gente/20201015/tbit2b6erbd6jf6263j4csvfke.html"
"Fecha: 20201102062720, Artículo: https://web.archive.org/web/20201102062720/https://www.larazon.es/andalucia/20201014/xvpxxnfqevgltfuvthqi7uxtgu.html"
"Fecha: 20201118030225, Artículo: https://web.archive.org/web/20201118030225/https://www.larazon.es/andalucia/20201115/jpq7we6o35b5royvm3o4pqycrq.html"
